"chromosome","start","end","tissue","tissue_type","query"
"chr8",134878881,135082928,"2313287_STOMACH_AA_amplicon5_amplicon5","STOMACH","8:134878881:135082928"
"chr8",135089015,135683041,"2313287_STOMACH_AA_amplicon5_amplicon5","STOMACH","8:135089015:135683041"
"chr6",20350846,22659425,"5637_URINARY_TRACT_AA_amplicon2_amplicon2","URINARY","6:20350846:22659425"
"chr3",9141191,9560904,"5637_URINARY_TRACT_AA_amplicon2_amplicon2","URINARY","3:9141191:9560904"
"chr3",9563331,10226174,"5637_URINARY_TRACT_AA_amplicon2_amplicon2","URINARY","3:9563331:10226174"
"chr3",10228944,12225771,"5637_URINARY_TRACT_AA_amplicon2_amplicon2","URINARY","3:10228944:12225771"
"chr15",57188141,57205354,"59M_OVARY_AA_amplicon19_amplicon19","OVARY","15:57188141:57205354"
"chr15",98690035,98719648,"59M_OVARY_AA_amplicon19_amplicon19","OVARY","15:98690035:98719648"
"chr15",98720807,99574536,"59M_OVARY_AA_amplicon19_amplicon19","OVARY","15:98720807:99574536"
"chr15",99575606,101366420,"59M_OVARY_AA_amplicon19_amplicon19","OVARY","15:99575606:101366420"
"chr8",53624606,56927134,"59M_OVARY_AA_amplicon19_amplicon19","OVARY","8:53624606:56927134"
"chr8",66445262,66486183,"59M_OVARY_AA_amplicon19_amplicon19","OVARY","8:66445262:66486183"
"chr8",72887022,72887444,"59M_OVARY_AA_amplicon19_amplicon19","OVARY","8:72887022:72887444"
"chr8",95816727,95830335,"59M_OVARY_AA_amplicon19_amplicon19","OVARY","8:95816727:95830335"
"chr8",103665310,103688361,"59M_OVARY_AA_amplicon19_amplicon19","OVARY","8:103665310:103688361"
"chr5",683839,847161,"786O_KIDNEY_AA_amplicon3_amplicon3","KIDNEY","5:683839:847161"
"chr8",33025184,33158787,"8305C_THYROID_AA_amplicon9_amplicon9","THYROID","8:33025184:33158787"
"chr8",33160376,34112156,"8305C_THYROID_AA_amplicon9_amplicon9","THYROID","8:33160376:34112156"
"chr20",32871492,32873203,"8305C_THYROID_AA_amplicon9_amplicon9","THYROID","20:32871492:32873203"
"chr20",32887056,33198899,"8305C_THYROID_AA_amplicon9_amplicon9","THYROID","20:32887056:33198899"
"chr22",23205680,23247454,"A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","22:23205680:23247454"
"chr3",195342033,195447949,"A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","3:195342033:195447949"
"chr3",195507037,195510199,"A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","3:195507037:195510199"
"chr3",195510729,195515311,"A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","3:195510729:195515311"
"chr3",195762565,195773927,"A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","3:195762565:195773927"
"chr3",195774965,195777389,"A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","3:195774965:195777389"
"chr3",195778031,195817634,"A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon10_amplicon10","HAEMATOPOIETIC","3:195778031:195817634"
"chr3",60998905,61070243,"A3KAW_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE_AA_amplicon13_amplicon13","HAEMATOPOIETIC","3:60998905:61070243"
"chr20",517965,1389145,"ABC1_LUNG_AA_amplicon1_amplicon1","LUNG","20:517965:1389145"
"chr20",1390814,1561077,"ABC1_LUNG_AA_amplicon1_amplicon1","LUNG","20:1390814:1561077"
"chr20",1594176,1785570,"ABC1_LUNG_AA_amplicon1_amplicon1","LUNG","20:1594176:1785570"
"chr4",162889061,163691420,"ABC1_LUNG_AA_amplicon14_amplicon14","LUNG","4:162889061:163691420"
"chr20",23264722,23757147,"ABC1_LUNG_AA_amplicon4_amplicon4","LUNG","20:23264722:23757147"
"chr20",23774926,24513282,"ABC1_LUNG_AA_amplicon4_amplicon4","LUNG","20:23774926:24513282"
"chr5",30939876,30949794,"ABC1_LUNG_AA_amplicon5_amplicon5","LUNG","5:30939876:30949794"
"chr8",58116312,58123051,"AU565_BREAST_AA_amplicon3_amplicon3","BREAST","8:58116312:58123051"
"chr8",58127431,58127992,"AU565_BREAST_AA_amplicon3_amplicon3","BREAST","8:58127431:58127992"
"chr6",39241753,42849394,"BFTC909_KIDNEY_AA_amplicon1_amplicon1","KIDNEY","6:39241753:42849394"
"chr9",10001,1213768,"BFTC909_KIDNEY_AA_amplicon10_amplicon10","KIDNEY","9:10001:1213768"
"chr9",5401080,6729117,"BFTC909_KIDNEY_AA_amplicon10_amplicon10","KIDNEY","9:5401080:6729117"
"chr9",6730107,7004725,"BFTC909_KIDNEY_AA_amplicon10_amplicon10","KIDNEY","9:6730107:7004725"
"chr10",35814029,36203685,"BT20_BREAST_AA_amplicon15_amplicon15","BREAST","10:35814029:36203685"
"chr16",79192593,80384121,"BT20_BREAST_AA_amplicon18_amplicon18","BREAST","16:79192593:80384121"
"chr16",47278930,48512319,"BT20_BREAST_AA_amplicon29_amplicon29","BREAST","16:47278930:48512319"
"chr3",121442116,121718243,"BT20_BREAST_AA_amplicon3_amplicon3","BREAST","3:121442116:121718243"
"chr12",131669279,131670364,"BT20_BREAST_AA_amplicon3_amplicon3","BREAST","12:131669279:131670364"
"chr12",131870460,131871078,"BT20_BREAST_AA_amplicon3_amplicon3","BREAST","12:131870460:131871078"
"chr12",131872027,131873148,"BT20_BREAST_AA_amplicon3_amplicon3","BREAST","12:131872027:131873148"
"chr7",52730070,52745254,"BT20_BREAST_AA_amplicon5_amplicon5","BREAST","7:52730070:52745254"
"chr7",53020358,53050449,"BT20_BREAST_AA_amplicon5_amplicon5","BREAST","7:53020358:53050449"
"chr7",54675936,55286757,"BT20_BREAST_AA_amplicon5_amplicon5","BREAST","7:54675936:55286757"
"chr7",55289061,56116303,"BT20_BREAST_AA_amplicon5_amplicon5","BREAST","7:55289061:56116303"
"chr7",66630373,66630639,"BT20_BREAST_AA_amplicon5_amplicon5","BREAST","7:66630373:66630639"
"chr7",66999396,67054755,"BT20_BREAST_AA_amplicon5_amplicon5","BREAST","7:66999396:67054755"
"chr1",109246121,109573231,"BT20_BREAST_AA_amplicon9_amplicon9","BREAST","1:109246121:109573231"
"chr1",109575180,110349747,"BT20_BREAST_AA_amplicon9_amplicon9","BREAST","1:109575180:110349747"
"chr9",34393240,35443265,"BT474_BREAST_AA_amplicon1_amplicon1","BREAST","9:34393240:35443265"
"chr8",36970770,37050884,"BT483_BREAST_AA_amplicon6_amplicon6","BREAST","8:36970770:37050884"
"chr8",37051853,38012951,"BT483_BREAST_AA_amplicon6_amplicon6","BREAST","8:37051853:38012951"
"chr1",109323285,109349236,"BT483_BREAST_AA_amplicon6_amplicon6","BREAST","1:109323285:109349236"
"chr7",158122833,158129933,"CAKI1_KIDNEY_AA_amplicon3_amplicon3","KIDNEY","7:158122833:158129933"
"chr7",158185318,158267207,"CAKI1_KIDNEY_AA_amplicon3_amplicon3","KIDNEY","7:158185318:158267207"
"chr12",57921753,58920110,"CAL120_BREAST_AA_amplicon11_amplicon11","BREAST","12:57921753:58920110"
"chr12",69791269,70594863,"CAL120_BREAST_AA_amplicon11_amplicon11","BREAST","12:69791269:70594863"
"chr12",70597577,70799190,"CAL120_BREAST_AA_amplicon11_amplicon11","BREAST","12:70597577:70799190"
"chr12",70924021,71237859,"CAL120_BREAST_AA_amplicon11_amplicon11","BREAST","12:70924021:71237859"
"chr12",91992972,92422490,"CAL120_BREAST_AA_amplicon11_amplicon11","BREAST","12:91992972:92422490"
"chr12",100328609,100328771,"CAL120_BREAST_AA_amplicon11_amplicon11","BREAST","12:100328609:100328771"
"chr12",101650634,102166106,"CAL120_BREAST_AA_amplicon11_amplicon11","BREAST","12:101650634:102166106"
"chr5",683853,847151,"CAL120_BREAST_AA_amplicon14_amplicon14","BREAST","5:683853:847151"
"chr19",53900097,53973580,"CAL120_BREAST_AA_amplicon6_amplicon6","BREAST","19:53900097:53973580"
"chr8",30336263,30337101,"CAL120_BREAST_AA_amplicon9_amplicon9","BREAST","8:30336263:30337101"
"chr8",35733083,35890812,"CAL120_BREAST_AA_amplicon9_amplicon9","BREAST","8:35733083:35890812"
"chr8",36310989,36635418,"CAL120_BREAST_AA_amplicon9_amplicon9","BREAST","8:36310989:36635418"
"chr8",36778086,36979029,"CAL120_BREAST_AA_amplicon9_amplicon9","BREAST","8:36778086:36979029"
"chr8",37051853,37853998,"CAL120_BREAST_AA_amplicon9_amplicon9","BREAST","8:37051853:37853998"
"chr8",40470415,42094109,"CAL120_BREAST_AA_amplicon9_amplicon9","BREAST","8:40470415:42094109"
"chr11",34148062,38157372,"CAL27_UPPER_AERODIGESTIVE_TRACT_AA_amplicon5_amplicon5","UPPER","11:34148062:38157372"
"chr2",87624952,87656388,"CAL54_KIDNEY_AA_amplicon7_amplicon7","KIDNEY","2:87624952:87656388"
"chr6",134362773,135990720,"CAL851_BREAST_AA_amplicon2_amplicon2","BREAST","6:134362773:135990720"
"chr6",145359250,145359857,"CAL851_BREAST_AA_amplicon2_amplicon2","BREAST","6:145359250:145359857"
"chr13",91065930,100192314,"CALU6_LUNG_AA_amplicon4_amplicon4","LUNG","13:91065930:100192314"
"chr1",175430116,175761839,"CAMA1_BREAST_AA_amplicon4_amplicon4","BREAST","1:175430116:175761839"
"chr22",19739527,19786844,"CAOV3_OVARY_AA_amplicon10_amplicon10","OVARY","22:19739527:19786844"
"chr3",168766434,178476004,"CAOV3_OVARY_AA_amplicon11_amplicon11","OVARY","3:168766434:178476004"
"chr3",178477681,179016645,"CAOV3_OVARY_AA_amplicon11_amplicon11","OVARY","3:178477681:179016645"
"chr7",53100964,53261027,"CAS1_CENTRAL_NERVOUS_SYSTEM_AA_amplicon2_amplicon2","CENTRAL","7:53100964:53261027"
"chr7",55050912,55115194,"CAS1_CENTRAL_NERVOUS_SYSTEM_AA_amplicon2_amplicon2","CENTRAL","7:55050912:55115194"
"chr7",55222266,55289560,"CAS1_CENTRAL_NERVOUS_SYSTEM_AA_amplicon2_amplicon2","CENTRAL","7:55222266:55289560"
"chr12",46325480,47386778,"CHAGOK1_LUNG_AA_amplicon11_amplicon11","LUNG","12:46325480:47386778"
"chr1",157650940,157887111,"CHAGOK1_LUNG_AA_amplicon13_amplicon13","LUNG","1:157650940:157887111"
"chr3",168580399,169022062,"CHAGOK1_LUNG_AA_amplicon16_amplicon16","LUNG","3:168580399:169022062"
"chr3",169361261,169819736,"CHAGOK1_LUNG_AA_amplicon16_amplicon16","LUNG","3:169361261:169819736"
"chr3",169820146,169820657,"CHAGOK1_LUNG_AA_amplicon16_amplicon16","LUNG","3:169820146:169820657"
"chr3",169906912,170144364,"CHAGOK1_LUNG_AA_amplicon16_amplicon16","LUNG","3:169906912:170144364"
"chr2",11692076,12486266,"CHP212_AUTONOMIC_GANGLIA_AA_amplicon2_amplicon2","AUTONOMIC","2:11692076:12486266"
"chr2",12602640,12898087,"CHP212_AUTONOMIC_GANGLIA_AA_amplicon2_amplicon2","AUTONOMIC","2:12602640:12898087"
"chr2",15722898,16212600,"CHP212_AUTONOMIC_GANGLIA_AA_amplicon2_amplicon2","AUTONOMIC","2:15722898:16212600"
"chr6",37819572,42875173,"COLO201_LARGE_INTESTINE_AA_amplicon3_amplicon3","LARGE","6:37819572:42875173"
"chr6",133408612,134268979,"COLO201_LARGE_INTESTINE_AA_amplicon3_amplicon3","LARGE","6:133408612:134268979"
"chr6",134269724,135543547,"COLO201_LARGE_INTESTINE_AA_amplicon3_amplicon3","LARGE","6:134269724:135543547"
"chr22",29065530,29065733,"COLO201_LARGE_INTESTINE_AA_amplicon3_amplicon3","LARGE","22:29065530:29065733"
"chr7",130391316,130581743,"COLO201_LARGE_INTESTINE_AA_amplicon5_amplicon5","LARGE","7:130391316:130581743"
"chr13",32299579,32439047,"COLO201_LARGE_INTESTINE_AA_amplicon7_amplicon7","LARGE","13:32299579:32439047"
"chr13",87597143,88447734,"COLO201_LARGE_INTESTINE_AA_amplicon8_amplicon8","LARGE","13:87597143:88447734"
"chr1",39937752,39986074,"COLO668_LUNG_AA_amplicon6_amplicon6","LUNG","1:39937752:39986074"
"chr1",40047756,40097925,"COLO668_LUNG_AA_amplicon6_amplicon6","LUNG","1:40047756:40097925"
"chr1",40124269,40204712,"COLO668_LUNG_AA_amplicon6_amplicon6","LUNG","1:40124269:40204712"
"chr1",40213403,40421280,"COLO668_LUNG_AA_amplicon6_amplicon6","LUNG","1:40213403:40421280"
"chr1",40436698,40481130,"COLO668_LUNG_AA_amplicon6_amplicon6","LUNG","1:40436698:40481130"
"chr1",40502789,40515387,"COLO668_LUNG_AA_amplicon6_amplicon6","LUNG","1:40502789:40515387"
"chr1",40572688,40578818,"COLO668_LUNG_AA_amplicon6_amplicon6","LUNG","1:40572688:40578818"
"chr1",40591265,40701585,"COLO668_LUNG_AA_amplicon6_amplicon6","LUNG","1:40591265:40701585"
"chr1",40771017,41004529,"COLO668_LUNG_AA_amplicon6_amplicon6","LUNG","1:40771017:41004529"
"chr1",41051925,41069124,"COLO668_LUNG_AA_amplicon6_amplicon6","LUNG","1:41051925:41069124"
"chr1",41091262,41185849,"COLO668_LUNG_AA_amplicon6_amplicon6","LUNG","1:41091262:41185849"
"chr1",41190974,41201274,"COLO668_LUNG_AA_amplicon6_amplicon6","LUNG","1:41190974:41201274"
"chr13",94915707,95422657,"COLO668_LUNG_AA_amplicon9_amplicon9","LUNG","13:94915707:95422657"
"chr12",3004875,3858459,"CORL23_LUNG_AA_amplicon1_amplicon1","LUNG","12:3004875:3858459"
"chr12",3858597,4024051,"CORL23_LUNG_AA_amplicon1_amplicon1","LUNG","12:3858597:4024051"
"chr12",4416205,4416273,"CORL23_LUNG_AA_amplicon1_amplicon1","LUNG","12:4416205:4416273"
"chr12",4416334,4491080,"CORL23_LUNG_AA_amplicon1_amplicon1","LUNG","12:4416334:4491080"
"chr12",25298524,25668520,"CORL23_LUNG_AA_amplicon1_amplicon1","LUNG","12:25298524:25668520"
"chr16",66589591,67076134,"CORL24_LUNG_AA_amplicon2_amplicon2","LUNG","16:66589591:67076134"
"chr1",38012257,39184099,"CORL24_LUNG_AA_amplicon2_amplicon2","LUNG","1:38012257:39184099"
"chr1",39646908,41992314,"CORL24_LUNG_AA_amplicon2_amplicon2","LUNG","1:39646908:41992314"
"chr1",41992940,44059295,"CORL24_LUNG_AA_amplicon2_amplicon2","LUNG","1:41992940:44059295"
"chr1",44059888,48673140,"CORL24_LUNG_AA_amplicon2_amplicon2","LUNG","1:44059888:48673140"
"chr5",710207,795342,"CORL279_LUNG_AA_amplicon3_amplicon3","LUNG","5:710207:795342"
"chr5",846862,848941,"CORL279_LUNG_AA_amplicon3_amplicon3","LUNG","5:846862:848941"
